,0

142,0.25

143,0.1375

144,0.16666667

145,0.13790667

146,0.104415

147,0.15

148,0.255

149,0.26666668

150,0.28

151,0.25

152,0.12629

153,0.022333333

154,0.24

155,0.212035

156,0.19843167

157,0.705

158,0.2

159,0.20833333

160,0.38333333

161,0.14166667

162,0.047281668

163,0.106385

164,0.21671

165,0.275

166,0.13333334

167,0.41666666

168,0.09166667

169,0.25

170,0.28333333

171,0.13754667

172,0.1

173,0.39166668

174,0.10126167

175,0.29

176,0.004765

177,0.06673

178,0.135

179,0.009465

180,0.037685

181,0.15122333

182,0.043341666

183,0.10316

184,0.02

185,0.006666667

186,0.083333336

187,0.116235

188,0.128055

189,0.123333335

190,0.25333333

191,0.036406666

192,0.03

193,0.29

194,0.16018833

195,0.245

196,0.015453333

197,0.04057

198,0.09015667

199,0.15

200,0.102445

201,0.325

202,0.063041665

203,0.083333336

204,0.26666668

205,0.021501666

206,0.33333334

207,0.275

208,0.033333335

209,0.2

210,0.041371666

211,0.094563335

212,0.11003666

213,0.009803333

214,0.041371666

215,0.30833334

216,0.047681667

217,0.15122333

218,0.14775667

219,0.23333333

220,0.07766166

221,0.19485667

222,0.056346666

223,0.09376

224,0.375

225,0.6933333

226,0.14623

227,0.14775667

228,0.225

229,0.11964333

230,0.027046667

231,0.42666668

232,0.33333334

233,0.33333334

234,0.3

235,0.18333334

236,0.10635

237,0.078015

238,0.006666667

239,0.036061667

240,0.17281833

241,0.13333334

242,0.18333334

243,0.275

244,0.030088333

245,0.12035333

246,0.061071668

247,0.020171667

248,0.16047

249,0.28333333

250,0.19166666

251,0.15

252,1.0

253,0.04733167

254,0.155

255,0.16617167

256,0.33333334

257,0.28960332

258,0.30833334

259,0.23641

260,0.21666667

261,0.106385

262,0.028173333

263,0.11044167

264,0.04255333

265,0.26666668

266,0.15525

267,0.18629166

268,0.046693332

269,0.108355

270,0.12083333

271,0.031511668

272,0.128055

273,0.14166667

274,0.12947333

275,0.16666667

276,0.096666664

277,0.09166667

278,0.033618335
